The Shawshank Redemption,1994.0,142 min,Drama,9.3,Tim Robbins,Morgan Freeman,William Sadler
The Godfather,1972.0,175 min,Crime,9.2,Marlon Brando,Al Pacino,Diane Keaton
The Dark Knight,2008.0,152 min,Action,9.0,Christian Bale,Heath Ledger,Michael Caine
The Godfather: Part II,1974.0,202 min,Crime,9.0,Al Pacino,Robert De Niro,Diane Keaton
12 Angry Men,1957.0,96 min,Crime,9.0,Henry Fonda,Lee J. Cobb,John Fiedler
The Lord of the Rings: The Return of the King,2003.0,201 min,Action,8.9,Elijah Wood,Viggo Mortensen,Orlando Bloom
Pulp Fiction,1994.0,154 min,Crime,8.9,John Travolta,Uma Thurman,Bruce Willis
Schindler's List,1993.0,195 min,Biography,8.9,Liam Neeson,Ralph Fiennes,Caroline Goodall
Inception,2010.0,148 min,Action,8.8,Leonardo DiCaprio,Joseph Gordon-Levitt,Ken Watanabe
Fight Club,1999.0,139 min,Drama,8.8,Brad Pitt,Edward Norton,Zach Grenier
The Lord of the Rings: The Fellowship of the Ring,2001.0,178 min,Action,8.8,Elijah Wood,Ian McKellen,Sean Bean
Forrest Gump,1994.0,142 min,Drama,8.8,Tom Hanks,Robin Wright,Sally Field
The Lord of the Rings: The Two Towers,2002.0,179 min,Action,8.7,Elijah Wood,Ian McKellen,Orlando Bloom
The Matrix,1999.0,136 min,Action,8.7,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne
Goodfellas,1990.0,146 min,Biography,8.7,Robert De Niro,Ray Liotta,Lorraine Bracco
Star Wars: Episode V - The Empire Strikes Back,1980.0,124 min,Action,8.7,Mark Hamill,Harrison Ford,Billy Dee Williams
One Flew Over the Cuckoo's Nest,1975.0,133 min,Drama,8.7,Jack Nicholson,Louise Fletcher,Peter Brocco
Hamilton,2020.0,160 min,Biography,8.6,Lin-Manuel Miranda,Phillipa Soo,Renée Elise Goldsberry
Interstellar,2014.0,169 min,Adventure,8.6,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
Saving Private Ryan,1998.0,169 min,Drama,8.6,Tom Hanks,Matt Damon,Edward Burns
The Green Mile,1999.0,189 min,Crime,8.6,Tom Hanks,Michael Clarke Duncan,Bonnie Hunt
Se7en,1995.0,127 min,Crime,8.6,Morgan Freeman,Brad Pitt,Andrew Kevin Walker
The Silence of the Lambs,1991.0,118 min,Crime,8.6,Jodie Foster,Anthony Hopkins,Kasi Lemmons
Star Wars,1977.0,121 min,Action,8.6,Mark Hamill,Harrison Ford,Alec Guinness
It's a Wonderful Life,1946.0,130 min,Drama,8.6,James Stewart,Donna Reed,Thomas Mitchell
Joker,2019.0,122 min,Crime,8.5,Joaquin Phoenix,Robert De Niro,Frances Conroy
Whiplash,2014.0,106 min,Drama,8.5,Miles Teller,J.K. Simmons,Paul Reiser
The Prestige,2006.0,130 min,Drama,8.5,Christian Bale,Hugh Jackman,Michael Caine
The Departed,2006.0,151 min,Crime,8.5,Leonardo DiCaprio,Matt Damon,Mark Wahlberg
The Pianist,2002.0,150 min,Biography,8.5,Adrien Brody,Thomas Kretschmann,Emilia Fox
Gladiator,2000.0,155 min,Action,8.5,Russell Crowe,Joaquin Phoenix,Oliver Reed
American History X,1998.0,119 min,Drama,8.5,Edward Norton,Edward Furlong,Jennifer Lien
The Usual Suspects,1995.0,106 min,Crime,8.5,Kevin Spacey,Gabriel Byrne,Stephen Baldwin
The Lion King,1994.0,88 min,Animation,8.5,Matthew Broderick,James Earl Jones,Jeremy Irons
Terminator 2: Judgment Day,1991.0,137 min,Action,8.5,Arnold Schwarzenegger,Linda Hamilton,Robert Patrick
Back to the Future,1985.0,116 min,Adventure,8.5,Michael J. Fox,Christopher Lloyd,Crispin Glover
Once Upon a Time in the West,1968.0,165 min,Western,8.5,Henry Fonda,Charles Bronson,Jason Robards
Psycho,1960.0,109 min,Horror,8.5,Anthony Perkins,Janet Leigh,John Gavin
Casablanca,1942.0,102 min,Drama,8.5,Humphrey Bogart,Ingrid Bergman,Claude Rains
Modern Times,1936.0,87 min,Comedy,8.5,Charles Chaplin,Paulette Goddard,Tiny Sandford
City Lights,1931.0,87 min,Comedy,8.5,Charles Chaplin,Virginia Cherrill,Harry Myers
Spider-Man: Into the Spider-Verse,2018.0,117 min,Animation,8.4,Shameik Moore,Jake Johnson,Hailee Steinfeld
Avengers: Endgame,2019.0,181 min,Action,8.4,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Avengers: Infinity War,2018.0,149 min,Action,8.4,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Coco,2017.0,105 min,Animation,8.4,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt
Django Unchained,2012.0,165 min,Drama,8.4,Jamie Foxx,Christoph Waltz,Kerry Washington
The Dark Knight Rises,2012.0,164 min,Action,8.4,Christian Bale,Tom Hardy,Gary Oldman
WALL-E,2008.0,98 min,Animation,8.4,Ben Burtt,Elissa Knight,Fred Willard
Memento,2000.0,113 min,Mystery,8.4,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano
